confidence,expected_label,is_sludge,layout_category,recommendations/0,recommendations/1,summary,text_features/0/end_time,text_features/0/start_time,text_features/0/text,text_features/1/end_time,text_features/1/start_time,text_features/1/text,text_tags/0,text_tags/1,video_id,visual_features/0/end_time,visual_features/0/start_time,visual_features/0/text,visual_features/1/end_time,visual_features/1/start_time,visual_features/1/text,visual_features/2/end_time,visual_features/2/start_time,visual_features/2/text,visual_features/3/end_time,visual_features/3/start_time,visual_features/3/text,visual_tags/0,visual_tags/1,visual_tags/2,text_features/2/end_time,text_features/2/start_time,text_features/2/text,text_tags/2,visual_features/4/end_time,visual_features/4/start_time,visual_features/4/text,visual_tags/3,visual_tags/4,text_features/3/end_time,text_features/3/start_time,text_features/3/text,text_features/4/end_time,text_features/4/start_time,text_features/4/text,recommendations/2,text_tags/3,text_features/5/end_time,text_features/5/start_time,text_features/5/text,text_features/6/end_time,text_features/6/start_time,text_features/6/text,visual_features/5/end_time,visual_features/5/start_time,visual_features/5/text,text_features/7/end_time,text_features/7/start_time,text_features/7/text,visual_features/6/end_time,visual_features/6/start_time,visual_features/6/text,visual_features/7/end_time,visual_features/7/start_time,visual_features/7/text,visual_features/8/end_time,visual_features/8/start_time,visual_features/8/text,text_tags/4,text_features/8/end_time,text_features/8/start_time,text_features/8/text,text_features/9/end_time,text_features/9/start_time,text_features/9/text,text_features/10/end_time,text_features/10/start_time,text_features/10/text,text_features/11/end_time,text_features/11/start_time,text_features/11/text,text_features/12/end_time,text_features/12/start_time,text_features/12/text,text_features/13/end_time,text_features/13/start_time,text_features/13/text,text_features/14/end_time,text_features/14/start_time,text_features/14/text,text_features/15/end_time,text_features/15/start_time,text_features/15/text,text_features/16/end_time,text_features/16/start_time,text_features/16/text,text_features/17/end_time,text_features/17/start_time,text_features/17/text,text_features/18/end_time,text_features/18/start_time,text_features/18/text,text_features/19/end_time,text_features/19/start_time,text_features/19/text,text_features/20/end_time,text_features/20/start_time,text_features/20/text
0.95,NON SLUDGE,false,N/A,None - video is coherent and well-produced.,,"A woman is accidentally shot in the neck with an arrow by neighborhood boys. Paramedics discover a tumor in her neck prevented the arrow from hitting a vital artery, saving her life. The incident leads to an unexpected reconciliation between the woman and the boys.",3,0,"A boy shoots an arrow, causing chaos and concern from adults.",13.5,3.5,"Paramedics arrive and assess the woman's injury, noting the arrow's unusual placement.",dialogue,medical-diagnosis,1ZiSlsPMtsQ,1,0,A boy aims and shoots a bow and arrow.,10,8,A woman is shown with an arrow lodged in her neck.,15,4,Paramedics and police officers attend to the injured woman.,17.5,16,"Two boys are seen looking out from a treehouse, observing the scene.",bow-and-arrow,paramedics,injury,19,13.5,"The woman expresses anger at the boys, threatening to sue their family.",reconciliation,42,39.5,The woman is placed on a stretcher and moved by paramedics.,treehouse,,34.5,26,"Paramedics discover a tumor in the woman's neck, which blocked the arrow from causing fatal damage.",52,42,"The woman and boys apologize to each other, leading to a surprising offer of reconciliation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,NON SLUDGE,false,N/A,None - the video is a coherent tribute.,,"The video features sequential clips of Cameron Boyce dancing in different settings, accompanied by a song. The clips are thematically related as a tribute to his talent.",3.7,0,Song lyrics about arguments and words that can't be taken back.,7.6,3.7,Lyrics suggesting an understanding of how a story ends.,song lyrics,emotional tone,1bxzzvnhcxA,7.5,0,Cameron Boyce dancing in a living room setting with other people in the background.,10,7.5,Cameron Boyce dancing in an elaborate outdoor street scene with many dancers.,,,,,,,dancing,actor tribute,scene changes,8.5,7.6,A final lyric phrase 'Then only for a minute'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - the content is coherent and not sludge-like.,"Ensure all content is original or properly licensed if shared publicly for commercial use, though this is not a sludge issue here.","A woman demonstrates bending down to pick something up, with accompanying audio that describes the action. The video features a single, coherent visual stream and related audio.",10,0,"The audio contains a phrase that translates to 'Used to not hesitating to go down/bend down', directly relating to the visual action.",,,,spoken phrase,action description,1kMZFjRKanQ,9,5,A woman in a white shirt bends deeply to pick up an object from the ground.,10,9,She smiles at the camera after completing the action.,10,0,Several other people are seated nearby in an outdoor setting next to water.,,,,woman bending,outdoor setting,group of people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - content is a single, coherent clip.",,"The video features a single, continuous clip of Roblox gameplay, showcasing a character resembling Cartman from South Park in a comedic scenario.",4,0,"A countdown is heard, followed by the phrase 'scammer gets scammed'.",6,4,An exaggerated vocalization or scream is played.,countdown,scream,1mnU-4BP15U,6,0,The main character is a blocky figure resembling Cartman from South Park.,6,3,The character appears to be expelling objects onto the ground.,6,0,"The setting is a green, blocky landscape with trees and water, characteristic of Roblox.",,,,Roblox gameplay,Cartman character,comedic scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,None - content is coherent and engaging.,,"The video depicts a comedic skit where one man attempts to guard his food from another man trying to steal it through a hole in a wall. All visual and audio elements contribute to a single, coherent narrative.",1,0,Exclamations and short phrases are used by characters during the skit.,19,13,A voiceover questions the character's understanding of Nigeria.,exclamations,voiceover,1nOUDLFsDP4,60,0,A man in a black shirt guards a plate of food with a machete.,60,0,Another man attempts to steal food through a hole in a wall.,19,17,The man in blue overalls is seen eating the stolen food with two women.,,,,comedic skit,food theft,,33,30,A voiceover states that a character must learn a lesson.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - the content is a single, coherent video.",,"The video features a single, coherent scene from the animated show South Park, where characters tell a joke.",0.06,0.01,Characters discuss playing a prank on Clyde.,0.15,0.12,Eric asks Clyde if he likes fishsticks.,dialogue,joke,23nfbyPj0Lc,29,0,"The video displays a single, continuous animated scene from South Park.",29,0,Characters are seen interacting in a school hallway setting.,,,,,,,South Park,animation,school hallway,0.25,0.2,"Eric and Butters deliver the punchline, calling Clyde a 'gay fish'.",laughter,,,,,,0.29,0.26,Characters laugh at the joke.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - content is coherent and not sludge-like. It features a single, continuous narrative from an animated series with matching audio and visuals, indicating a clear and intentional presentation format. No unrelated clips or engagement-bait elements are present. The video is a standard animated clip with no issues related to the definition of sludge content. The layout is a single, full-screen view of the animation, which is appropriate for the content. The audio is directly related to the visual content, enhancing the narrative. Therefore, no recommendations for improvement are necessary in terms of sludge detection or content presentation.",,"This video features a single, continuous animated scene from South Park, depicting characters at a concert or party. The visuals and audio are coherent and part of a single narrative.",2.8,0,A character expresses excitement about being at a party with 'Lorde'.,6.8,4,Another character comments on the food and criticizes 'Lorde's' appearance.,character dialogue,singing,23wtz8247AE,2.9,0,"The video opens with a close-up of several South Park characters, including a man in a lab coat holding a phone.",6.9,3,"Two boys are shown holding plates of food, with other characters in the background.",13.5,7,"A character resembling 'Lorde' is shown on a stage, initially from behind, then facing the audience, singing into a microphone.",20,13.6,The scene expands to show the stage with a 'LORD' banner and an audience watching the performance.,South Park animation,concert scene,,19.5,8,The character 'Lorde' sings a repetitive song with 'ya ya ya' and 'I am Lord' lyrics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,N/A,"None - content is a single, coherent video.",,"A single video clip shows a humorous interaction between people in a room, accompanied by a background song, with no multiple, unrelated video streams.",11,0,A Hindi song with romantic lyrics plays throughout the video.,,,,hindi-song,background-music,26A2RrjyEW4,11,0,A group of people are seen in what appears to be a gym or changing room.,11,0,A man in a brown hoodie is seen with his pants pulled down.,11,0,"Another man in a yellow and blue jacket walks past, seemingly involved in a prank.",11,0,"A woman is visible in the background, initially looking at the man in the brown hoodie.",humorous-skit,indoor-setting,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,NON SLUDGE,false,layered,,,"The video features blue-tinted alien-like cats and alien heads against a starry space background, with synchronized on-screen text displaying repetitive, distorted vocalizations. The visual and auditory elements are thematically coherent, creating a surreal aesthetic.",15,0,"The audio consists of repetitive, distorted vocalizations.",14.5,1.5,Nonsensical syllables like 'auiaua' are frequently repeated.,vocalizations,repetitive sounds,26ayQptxtJU,15,0,Blue-tinted alien-like cats with antennae are present.,15,0,Blue-tinted alien heads are visible in the foreground.,15,0,A starry space background with nebulae is consistent throughout.,15,0,"On-screen text appears and disappears, synchronized with the audio.",space,alien cats,blue aesthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NON SLUDGE,false,N/A,None - content is coherent and focused.,,"The video features a single, continuous animated scene from South Park with dialogue directly related to the on-screen action.",1.7,0,Characters express fear and confusion.,2.9,2.1,A character invites another to play 'blanket'.,dialogue,exclamations,28kdy_NDnZo,16,0,South Park characters are shown in various indoor settings.,8,0,Butters is seen wearing a feathered mask.,10,2.5,A zombie-like Michael Jackson character appears.,13,10.5,"Kenny is shown being killed, splattering blood.",South Park,animation,,8.5,7.5,A character exclaims that another can fly.,,16,13.5,Stan and Kyle react with shock.,,,9.7,9.3,A character screams 'stop!'.,15.6,11,Characters react to Kenny's death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
